"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"20:00:00 06-May-2018",42272.28,42262.16,42262.16,,1314.81,1314.50,1314.50,
"16:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"12:00:00 06-May-2018",42289.24,42262.16,42262.16,,1315.34,1314.50,1314.50,
"08:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"04:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"00:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"20:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"16:00:00 05-May-2018",42286.11,42262.16,42262.16,,1315.25,1314.50,1314.50,
"12:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"08:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"04:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"00:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"20:00:00 04-May-2018",42284.58,42247.05,42283.78,,1315.20,1314.03,1315.17,
"16:00:00 04-May-2018",42277.99,42141.83,42248.73,,1314.99,1310.76,1314.08,
"12:00:00 04-May-2018",42281.37,42066.36,42167.31,,1315.10,1308.41,1311.55,
"08:00:00 04-May-2018",42180.01,42077.69,42164.82,,1311.94,1308.76,1311.47,
"04:00:00 04-May-2018",42240.78,42115.47,42130.18,,1313.84,1309.94,1310.40,
"00:00:00 04-May-2018",42260.79,42162.09,42233.94,,1314.46,1311.39,1313.62,
"20:00:00 03-May-2018",42235.39,42161.52,42211.68,,1313.67,1311.37,1312.93,
"16:00:00 03-May-2018",42280.96,42147.86,42168.12,,1315.08,1310.94,1311.58,
"12:00:00 03-May-2018",42374.36,42207.10,42240.21,,1317.99,1312.79,1313.82,
"08:00:00 03-May-2018",42371.71,42067.16,42370.99,,1317.91,1308.43,1317.89,
"04:00:00 03-May-2018",42130.82,42010.01,42094.73,,1310.41,1306.66,1309.29,
"00:00:00 03-May-2018",42127.28,41977.14,42078.01,,1310.30,1305.64,1308.77,
"20:00:00 02-May-2018",42005.19,41935.10,41989.20,,1306.51,1304.33,1306.01,
"16:00:00 02-May-2018",42216.42,41928.35,41944.91,,1313.08,1304.12,1304.63,
"12:00:00 02-May-2018",42136.21,41931.89,42015.24,,1310.58,1304.23,1306.82,
"08:00:00 02-May-2018",42156.54,42082.67,42098.67,,1311.21,1308.92,1309.42,
"04:00:00 02-May-2018",42168.60,42046.51,42118.60,,1311.59,1307.79,1310.03,
"00:00:00 02-May-2018",42178.32,41975.29,42144.40,,1311.89,1305.58,1310.84,
"20:00:00 01-May-2018",41989.68,41900.30,41975.29,,1306.03,1303.25,1305.58,
"16:00:00 01-May-2018",42051.09,41957.37,41961.87,,1307.94,1305.02,1305.16,
"12:00:00 01-May-2018",42125.92,41863.00,41984.37,,1310.26,1302.08,1305.86,
"08:00:00 01-May-2018",42152.20,42045.94,42068.61,,1311.08,1307.77,1308.48,
"04:00:00 01-May-2018",42203.32,42134.68,42147.78,,1312.67,1310.54,1310.94,
"00:00:00 01-May-2018",42286.43,42185.88,42195.04,,1315.25,1312.13,1312.41,
"20:00:00 30-Apr-2018",42320.83,42268.75,42284.26,,1316.32,1314.71,1315.19,
"16:00:00 30-Apr-2018",42446.14,42272.04,42272.04,,1320.22,1314.81,1314.81,
"12:00:00 30-Apr-2018",42318.74,42134.68,42300.17,,1316.26,1310.54,1315.68,
"08:00:00 30-Apr-2018",42375.41,42211.04,42243.11,,1318.02,1312.91,1313.91,
"04:00:00 30-Apr-2018",42515.50,42341.41,42365.28,,1322.38,1316.97,1317.71,
"00:00:00 30-Apr-2018",42597.81,42486.25,42486.89,,1324.94,1321.47,1321.49,
"20:00:00 29-Apr-2018",42656.32,42520.49,42551.11,,1326.76,1322.54,1323.49,
"16:00:00 29-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"12:00:00 29-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"08:00:00 29-Apr-2018",42567.59,42556.98,42567.59,,1324.00,1323.67,1324.00,
"04:00:00 29-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"00:00:00 29-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"20:00:00 28-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"16:00:00 28-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"12:00:00 28-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"08:00:00 28-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"04:00:00 28-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"00:00:00 28-Apr-2018",42567.59,42567.59,42567.59,,1324.00,1324.00,1324.00,
"20:00:00 27-Apr-2018",42567.59,42535.28,42548.62,,1324.00,1323.00,1323.41,
"16:00:00 27-Apr-2018",42604.48,42485.76,42551.19,,1325.15,1321.45,1323.49,
"12:00:00 27-Apr-2018",42560.68,42356.36,42496.54,,1323.79,1317.43,1321.79,
"08:00:00 27-Apr-2018",42448.63,42325.65,42396.06,,1320.30,1316.47,1318.66,
"04:00:00 27-Apr-2018",42371.95,42304.03,42357.97,,1317.91,1315.80,1317.48,
"00:00:00 27-Apr-2018",42381.68,42303.71,42360.06,,1318.22,1315.79,1317.55,
"20:00:00 26-Apr-2018",42383.36,42317.13,42376.29,,1318.27,1316.21,1318.05,
"16:00:00 26-Apr-2018",42376.93,42321.96,42370.02,,1318.07,1316.36,1317.85,
"12:00:00 26-Apr-2018",42620.80,42291.90,42325.01,,1325.66,1315.43,1316.45,
"08:00:00 26-Apr-2018",42624.98,42488.02,42537.69,,1325.79,1321.53,1323.07,
"04:00:00 26-Apr-2018",42649.49,42543.07,42553.84,,1326.55,1323.24,1323.57,
"00:00:00 26-Apr-2018",42589.29,42506.02,42562.12,,1324.67,1322.09,1323.83,
"20:00:00 25-Apr-2018",42553.36,42481.10,42527.08,,1323.56,1321.31,1322.74,
"16:00:00 25-Apr-2018",42563.49,42462.62,42527.72,,1323.87,1320.74,1322.76,
"12:00:00 25-Apr-2018",42529.97,42410.53,42480.86,,1322.83,1319.11,1321.30,
"08:00:00 25-Apr-2018",42624.17,42453.53,42463.98,,1325.76,1320.45,1320.78,
"04:00:00 25-Apr-2018",42717.57,42546.85,42555.29,,1328.66,1323.35,1323.62,
"00:00:00 25-Apr-2018",42816.35,42700.61,42701.98,,1331.74,1328.14,1328.18,
"20:00:00 24-Apr-2018",42826.24,42752.78,42816.35,,1332.04,1329.76,1331.74,
"16:00:00 24-Apr-2018",42846.74,42718.78,42813.38,,1332.68,1328.70,1331.64,
"12:00:00 24-Apr-2018",42782.76,42552.88,42730.27,,1330.69,1323.54,1329.06,
"08:00:00 24-Apr-2018",42693.54,42601.91,42652.95,,1327.92,1325.07,1326.66,
"04:00:00 24-Apr-2018",42713.63,42589.45,42618.07,,1328.54,1324.68,1325.57,
"00:00:00 24-Apr-2018",42699.97,42529.49,42655.44,,1328.12,1322.82,1326.73,
"20:00:00 23-Apr-2018",42609.95,42565.10,42587.44,,1325.32,1323.92,1324.62,
"16:00:00 23-Apr-2018",42610.11,42513.58,42597.97,,1325.32,1322.32,1324.94,
"12:00:00 23-Apr-2018",42721.03,42519.28,42524.51,,1328.77,1322.50,1322.66,
"08:00:00 23-Apr-2018",42831.22,42670.07,42717.57,,1332.20,1327.19,1328.66,
"04:00:00 23-Apr-2018",42929.53,42819.09,42829.70,,1335.26,1331.82,1332.15,
"00:00:00 23-Apr-2018",42917.95,42839.18,42897.13,,1334.90,1332.45,1334.25,
"20:00:00 22-Apr-2018",42964.97,42846.42,42858.87,,1336.36,1332.67,1333.06,
"16:00:00 22-Apr-2018",42964.97,42964.97,42964.97,,1336.36,1336.36,1336.36,
"12:00:00 22-Apr-2018",42964.97,42964.97,42964.97,,1336.36,1336.36,1336.36,
"08:00:00 22-Apr-2018",42964.97,42955.89,42964.97,,1336.36,1336.08,1336.36,
"04:00:00 22-Apr-2018",42964.97,42964.97,42964.97,,1336.36,1336.36,1336.36,
"00:00:00 22-Apr-2018",42964.97,42964.97,42964.97,,1336.36,1336.36,1336.36,
"20:00:00 21-Apr-2018",42964.97,42964.97,42964.97,,1336.36,1336.36,1336.36,
"16:00:00 21-Apr-2018",42964.97,42964.97,42964.97,,1336.36,1336.36,1336.36,
"12:00:00 21-Apr-2018",42964.97,42955.89,42964.97,,1336.36,1336.08,1336.36,
"08:00:00 21-Apr-2018",42964.97,42964.97,42964.97,,1336.36,1336.36,1336.36,
"04:00:00 21-Apr-2018",42964.97,42955.89,42964.97,,1336.36,1336.08,1336.36,
"00:00:00 21-Apr-2018",42964.97,42964.97,42964.97,,1336.36,1336.36,1336.36,
"20:00:00 20-Apr-2018",42966.42,42904.37,42942.79,,1336.41,1334.48,1335.67,
"16:00:00 20-Apr-2018",43045.27,42930.09,42957.58,,1338.86,1335.28,1336.13,
"12:00:00 20-Apr-2018",43214.86,42926.95,43025.17,,1344.13,1335.18,1338.23,
"08:00:00 20-Apr-2018",43170.90,43071.63,43096.15,,1342.77,1339.68,1340.44,
"04:00:00 20-Apr-2018",43225.47,43109.65,43125.08,,1344.46,1340.86,1341.34,
"00:00:00 20-Apr-2018",43264.46,43141.40,43187.37,,1345.68,1341.85,1343.28,
"20:00:00 19-Apr-2018",43289.21,43227.88,43234.07,,1346.44,1344.54,1344.73,
"16:00:00 19-Apr-2018",43305.77,43156.19,43286.80,,1346.96,1342.31,1346.37,
"12:00:00 19-Apr-2018",43426.66,43126.61,43168.57,,1350.72,1341.39,1342.69,
"08:00:00 19-Apr-2018",43504.46,43285.19,43419.34,,1353.14,1346.32,1350.49,
"04:00:00 19-Apr-2018",43551.48,43435.34,43496.66,,1354.60,1350.99,1352.90,
"00:00:00 19-Apr-2018",43502.85,43345.56,43473.52,,1353.09,1348.20,1352.18,
"20:00:00 18-Apr-2018",43453.90,43354.72,43426.17,,1351.57,1348.48,1350.70,
"16:00:00 18-Apr-2018",43478.66,43333.90,43354.72,,1352.34,1347.83,1348.48,
"12:00:00 18-Apr-2018",43582.99,43385.18,43433.81,,1355.58,1349.43,1350.94,
"08:00:00 18-Apr-2018",43434.05,43198.06,43407.29,,1350.95,1343.61,1350.12,
"04:00:00 18-Apr-2018",43287.85,43159.81,43276.03,,1346.40,1342.42,1346.03,
"00:00:00 18-Apr-2018",43303.28,43195.25,43235.44,,1346.88,1343.52,1344.77,
"20:00:00 17-Apr-2018",43342.98,43269.36,43288.01,,1348.12,1345.83,1346.41,
"16:00:00 17-Apr-2018",43326.51,43209.48,43315.74,,1347.61,1343.97,1347.27,
"12:00:00 17-Apr-2018",43231.82,43015.37,43227.40,,1344.66,1337.93,1344.52,
"08:00:00 17-Apr-2018",43206.75,43121.87,43152.89,,1343.88,1341.24,1342.20,
"04:00:00 17-Apr-2018",43365.89,43137.94,43180.54,,1348.83,1341.74,1343.06,
"00:00:00 17-Apr-2018",43383.57,43210.36,43246.33,,1349.38,1343.99,1345.11,
"20:00:00 16-Apr-2018",43357.21,43258.91,43346.28,,1348.56,1345.50,1348.22,
"16:00:00 16-Apr-2018",43376.82,43260.52,43282.54,,1349.17,1345.55,1346.24,
"12:00:00 16-Apr-2018",43418.94,43181.75,43317.18,,1350.48,1343.10,1347.31,
"08:00:00 16-Apr-2018",43271.93,43162.70,43192.04,,1345.91,1342.51,1343.42,
"04:00:00 16-Apr-2018",43327.71,43127.82,43247.34,,1347.64,1341.43,1345.14,
"00:00:00 16-Apr-2018",43354.88,43191.15,43316.14,,1348.49,1343.39,1347.28,
"20:00:00 15-Apr-2018",43283.59,43095.83,43212.45,,1346.27,1340.43,1344.06,
"16:00:00 15-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"12:00:00 15-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"08:00:00 15-Apr-2018",43281.34,43268.96,43281.34,,1346.20,1345.82,1346.20,
"04:00:00 15-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"00:00:00 15-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"20:00:00 14-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"16:00:00 14-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"12:00:00 14-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"08:00:00 14-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"04:00:00 14-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"00:00:00 14-Apr-2018",43281.34,43281.34,43281.34,,1346.20,1346.20,1346.20,
"20:00:00 13-Apr-2018",43281.34,43223.87,43255.94,,1346.20,1344.41,1345.41,
"16:00:00 13-Apr-2018",43303.76,43180.70,43229.25,,1346.90,1343.07,1344.58,
"12:00:00 13-Apr-2018",43291.62,42947.13,43250.79,,1346.52,1335.81,1345.25,
"08:00:00 13-Apr-2018",43134.97,42955.00,42969.07,,1341.65,1336.05,1336.49,
"04:00:00 13-Apr-2018",43110.94,42967.38,43078.46,,1340.90,1336.43,1339.89,
"00:00:00 13-Apr-2018",43111.50,42973.17,43091.24,,1340.92,1336.61,1340.29,
"20:00:00 12-Apr-2018",43038.03,42915.94,43019.87,,1338.63,1334.83,1338.07,
"16:00:00 12-Apr-2018",43080.79,42889.26,42924.86,,1339.96,1334.01,1335.11,
"12:00:00 12-Apr-2018",43301.11,42952.59,43023.97,,1346.82,1335.97,1338.20,
"08:00:00 12-Apr-2018",43409.70,43218.72,43251.92,,1350.19,1344.25,1345.29,
"04:00:00 12-Apr-2018",43475.93,43355.68,43368.14,,1352.25,1348.51,1348.90,
"00:00:00 12-Apr-2018",43505.99,43390.49,43441.12,,1353.19,1349.60,1351.17,
"20:00:00 11-Apr-2018",43517.48,43439.28,43498.92,,1353.54,1351.11,1352.97,
"16:00:00 11-Apr-2018",43799.85,43339.85,43441.04,,1362.33,1348.02,1351.17,
"12:00:00 11-Apr-2018",43888.50,43365.09,43771.63,,1365.08,1348.81,1361.45,
"08:00:00 11-Apr-2018",43448.92,43169.05,43371.20,,1351.41,1342.71,1349.00,
"04:00:00 11-Apr-2018",43256.66,43116.64,43243.96,,1345.43,1341.08,1345.04,
"00:00:00 11-Apr-2018",43168.49,43079.91,43132.08,,1342.69,1339.93,1341.56,
"20:00:00 10-Apr-2018",43148.15,43057.49,43143.97,,1342.06,1339.24,1341.93,
"16:00:00 10-Apr-2018",43163.98,43036.27,43105.55,,1342.55,1338.58,1340.73,
"12:00:00 10-Apr-2018",43111.50,42956.29,43036.43,,1340.92,1336.09,1338.58,
"08:00:00 10-Apr-2018",43047.52,42900.51,42974.22,,1338.93,1334.36,1336.65,
"04:00:00 10-Apr-2018",43004.68,42809.52,42998.09,,1337.60,1331.52,1337.39,
"00:00:00 10-Apr-2018",43022.04,42863.94,42900.75,,1338.14,1333.22,1334.36,
"20:00:00 09-Apr-2018",43010.63,42928.96,42971.00,,1337.78,1335.24,1336.55,
"16:00:00 09-Apr-2018",43016.98,42837.49,42999.21,,1337.98,1332.39,1337.42,
"12:00:00 09-Apr-2018",42896.65,42742.41,42873.02,,1334.23,1329.44,1333.50,
"08:00:00 09-Apr-2018",42760.17,42665.49,42749.00,,1329.99,1327.05,1329.64,
"04:00:00 09-Apr-2018",42873.26,42731.16,42751.89,,1333.51,1329.09,1329.73,
"00:00:00 09-Apr-2018",42872.70,42766.60,42844.89,,1333.49,1330.19,1332.63,
"20:00:00 08-Apr-2018",42918.76,42821.42,42842.80,,1334.92,1331.90,1332.56,
"16:00:00 08-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
"12:00:00 08-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
"08:00:00 08-Apr-2018",42873.26,42867.39,42867.39,,1333.51,1333.32,1333.32,
"04:00:00 08-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
"00:00:00 08-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
"20:00:00 07-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
"16:00:00 07-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
"12:00:00 07-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
"08:00:00 07-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
"04:00:00 07-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
"00:00:00 07-Apr-2018",42867.39,42867.39,42867.39,,1333.32,1333.32,1333.32,
